month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,charitable_percent_covered
01,2019,Linwood,31,11,0,20,216.82,430.99,687,268,202,127,39,3.17,0.2835820895522388,0.7508719461226344,2.56,1,63891,202534.47,32755.239999999998,0.16172674211950192,4316,0.0675525504374638,0.9801512386796001,0,0,0,0,0,0,0
01,2019,Lower Price Hill,31,11,0,20,216.82,430.99,761,249.3715139442231,284.996015936255,83.37649402390439,51.54183266932271,3.17,0.5319148936170213,0.5297077402677616,2.29,1,70773,224350.41,57168.419571713144,0.2548175399889536,3507.876494023905,0.04956518013965643,0.8340904603963716,0,0,0,0,0,0,0
01,2019,Madisonville,31,11,0,20,216.82,430.99,10838,5173,2288,1160,273,3.17,0.10806108641020684,0.8747427116556309,2.1310924524820076,1,1007934,3195150.78,240923.41,0.0754028296592626,37258,0.03696472189647338,0.9871102632113669,0,0,0,0,0,0,0
01,2019,Millvale,31,11,0,20,216.82,430.99,2150,863.3146461107217,890.4344779257183,502.4702172389629,66.29292221443588,3.17,0.5305410122164049,0.5711313067425566,2.48,1,199950,633841.5,197403.68885774352,0.3114401453009049,14787.84162578837,0.07395769755333018,0.9565291495967917,0,0,0,0,0,0,0
01,2019,Mt. Adams,31,11,0,20,216.82,430.99,1629,1030,92,46,26,3.17,0,0.9719854660198584,1.58,0.13,151497,480245.49,0,0,243.35999999999999,0.0016063684429394641,0.9735918344627978,0,0,0,0,0,0,0
01,2019,Mt. Airy,31,11,0,20,216.82,430.99,8950,3913.51504818384,2508.398813936249,1501.7774647887325,430.7405485544848,3.17,0.2776781334334773,0.7694442473803557,2.274527374301676,1,832350,2638549.5,468355.7786879169,0.1775050188324748,50245.46834692365,0.0603657936528187,1.0073150598656493,0,0,0,0,0,0,0
01,2019,Mt. Auburn,31,11,0,20,216.82,430.99,4641,2132,961,570,133,3.17,0.16604127579737335,0.8442274463475321,2.01,1,431613,1368213.21,152570.46,0.11151073450021726,18278,0.04234812204451673,0.9980863028922662,0,0,0,0,0,0,0
01,2019,Mt. Lookout,31,11,0,20,216.82,430.99,4996,2118.6603225806452,1233.2783870967742,701.3706451612903,159.8841935483871,3.17,0,0.9722361007336349,2.3699679743795037,0.13,464628,1472870.76,0,0,2911.04135483871,0.006265316241893967,0.9785014169755288,0,0,0,0,0,0,0
01,2019,Mt. Washington,31,11,0,20,216.82,430.99,12297,5492.241855799697,3154.5783304176066,1700.5546328259147,391.2559107458913,3.17,0.16094788735060636,0.8925560941004734,2.225589981296251,0.45,1143621,3625278.57,380979.9561853744,0.10508984311938667,24474.183359790135,0.021400606809240243,1.0190465440291003,0,0,0,0,0,0,0
01,2019,North Avondale - Paddock Hills,31,11,0,20,216.82,430.99,4236,1513.6275674758106,606.1700899677475,288.34425394669836,103.54506874893906,3.17,0.20760095011876484,0.8528371305477184,2,1,393948,1248815.16,135430.21230351384,0.10844696368317137,10189.122390086573,0.02586413026614318,0.987148224497033,0,0,0,0,0,0,0
